Gene,Reported_mutation,Accession,NameFromLCHIP
TNFRSF14,SNV,NM_003820,TNFRSF14
TNIP1,SNV,NM_001252385,TNIP1
TOX,SNV,NM_014729,TOX
TP63,SNV,NM_003722,TP63
TSC2,SNV,NM_000548,TSC2
UBR5,SNV,NM_001282873,UBR5
VAV1,SNV,NM_001258206,VAV1
WDFY3,SNV,NM_014991,WDFY3
XPO1,SNV,NM_003400,XPO1
YY1,SNV,NM_003403,YY1
ZBTB11,SNV,NM_014415,ZBTB11
ZC3H12A,SNV,NM_001323550,ZC3H12A
ZEB2,SNV,NM_014795,ZEB2
ZFP36L1,SNV,NM_001244698,ZFP36L1
ZNF217,SNV,NM_001385034,ZNF217
ZNF292,SNV,NM_015021,ZNF292
PDGFRB,MNV,NM_002609,PDGFRB
NFKBIE,MNV,NM_004556,NFKBIE
ARID1B,MNV,NM_001374820,ARID1B
BIRC3,MNV,NM_001165,BIRC3
MYCBP2,MNV,NM_015057,MYCBP2
DDX3X,MNV,NM_001356,DDX3X
TAF1,MNV,NM_004606,TAF1
KIR2DL3,MNV,NM_015868,KIR2DL3
POT1,MNV,NM_015450,POT1
ACTB,COSMICUniq,NM_001101,ACTB
ACTG1,COSMICUniq,NM_001199954,ACTG1
BAZ2B,COSMICUniq,NM_013450,BAZ2B
BCL10,COSMICUniq,NM_003921,BCL10
BCL7A,COSMICUniq,NM_020993,BCL7A
BTK,COSMICUniqChanged,NM_000061,BTK
CD58,COSMICUniq,NM_001144822,CD58
CD70,COSMICUniq,NM_001252,CD70
CD79A,COSMICUniq,NM_001783,CD79A
CTSS,COSMICUniq,NM_004079,CTSS
DIRAS3,COSMICUniq,NM_004675,DIRAS3
ENTPD4,COSMICUniq,NM_004901,ENTPD4
ETS1,COSMICUniq,NM_005238,ETS1
FANCE,COSMICUniq,NM_021922,FANCE
FYN,COSMICUniq,NM_002037,FYN
GRB2,COSMICUniq,NM_002086,GRB2
GRHPR,COSMICUniq,NM_012203,GRHPR
H1-2,COSMICUniq,NM_005319,HIST1H1C
H1-3,COSMICUniq,NM_005320,HIST1H1D
H1-5,COSMICUniq,NM_005322,HIST1H1B
H2AC6,COSMICUniq,NM_003512,HIST1H2AC
H2BC21,COSMICUniq,NM_003528,HIST2H2BE
H3C2,COSMICUniq,NM_003537,HIST1H3B
HAVCR2,COSMICUniq,NM_032782,HAVCR2
HEATR3,COSMICUniq,NM_182922,HEATR3
ID3,COSMICUniq,NM_002167,ID3
IL6,COSMICUniq,NM_000600,IL6
ITK,COSMICUniq,NM_005546,ITK
KLHL9,COSMICUniq,NM_018847,KLHL9
LYN,COSMICUniq,NM_002350,LYN
MGARP,COSMICUniq,NM_032623,MGARP
MS4A1,COSMICUniq,NM_152866,MS4A1
NSD2,COSMICUniq,NM_133330,NSD2
